"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Hutt Valley","Maori","eligible","157","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Lakes","Maori","eligible","237","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Midcentral","Maori","eligible","203","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Nelson Marlborough","Maori","eligible","89","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Northland","Maori","eligible","356","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"South Canterbury","Maori","eligible","20","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Southern","Maori","eligible","151","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Tairawhiti","Maori","eligible","139","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Taranaki","Maori","eligible","119","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waikato","Maori","eligible","536","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Wairarapa","Maori","eligible","39","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waitemata","Maori","eligible","319","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"West Coast","Maori","eligible","17","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Whanganui","Maori","eligible","87","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"National","Maori","eligible","4384","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Auckland","Maori","full","141","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Bay of Plenty","Maori","full","222","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Canterbury","Maori","full","206","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Capital & Coast","Maori","full","163","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Counties Manukau","Maori","full","433","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hawkes Bay","Maori","full","266","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hutt Valley","Maori","full","134","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Lakes","Maori","full","168","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Midcentral","Maori","full","176","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Nelson Marlborough","Maori","full","75","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Northland","Maori","full","252","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"South Canterbury","Maori","full","14","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Southern","Maori","full","138","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Tairawhiti","Maori","full","109","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Taranaki","Maori","full","100","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waikato","Maori","full","380","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Wairarapa","Maori","full","36","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waitemata","Maori","full","226","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"West Coast","Maori","full","13","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Whanganui","Maori","full","73","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"National","Maori","full","3325","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Auckland","Maori","proportion","0.754010695187166","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Bay of Plenty","Maori","proportion","0.672727272727273","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Canterbury","Maori","proportion","0.792307692307692","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Capital & Coast","Maori","proportion","0.779904306220096","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Counties Manukau","Maori","proportion","0.671317829457364","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hawkes Bay","Maori","proportion","0.939929328621908","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hutt Valley","Maori","proportion","0.853503184713376","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Lakes","Maori","proportion","0.708860759493671","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Midcentral","Maori","proportion","0.866995073891626","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Nelson Marlborough","Maori","proportion","0.842696629213483","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Northland","Maori","proportion","0.707865168539326","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"South Canterbury","Maori","proportion","0.7","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Southern","Maori","proportion","0.913907284768212","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Tairawhiti","Maori","proportion","0.784172661870504","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Taranaki","Maori","proportion","0.840336134453782","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waikato","Maori","proportion","0.708955223880597","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Wairarapa","Maori","proportion","0.923076923076923","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waitemata","Maori","proportion","0.70846394984326","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"West Coast","Maori","proportion","0.764705882352941","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Whanganui","Maori","proportion","0.839080459770115","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"National","Maori","proportion","0.758439781021898","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Auckland","Pacific","eligible","320","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Bay of Plenty","Pacific","eligible","20","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Canterbury","Pacific","eligible","84","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Capital & Coast","Pacific","eligible","90","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Counties Manukau","Pacific","eligible","795","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hawkes Bay","Pacific","eligible","29","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hutt Valley","Pacific","eligible","75","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Lakes","Pacific","eligible","10","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Midcentral","Pacific","eligible","32","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Nelson Marlborough","Pacific","eligible","11","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Northland","Pacific","eligible","15","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"South Canterbury","Pacific","eligible","n/s","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Southern","Pacific","eligible","37","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Tairawhiti","Pacific","eligible","n/s","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Taranaki","Pacific","eligible","n/s","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waikato","Pacific","eligible","55","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Wairarapa","Pacific","eligible","n/s","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waitemata","Pacific","eligible","239","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
