"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Hawkes Bay","Maori","full",824,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hutt Valley","Maori","full",409,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Lakes","Maori","full",628,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"MidCentral","Maori","full",629,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Nelson Marlborough","Maori","full",265,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Northland","Maori","full",1067,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"South Canterbury","Maori","full",76,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Southern","Maori","full",559,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Tairawhiti","Maori","full",427,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Taranaki","Maori","full",449,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waikato","Maori","full",1631,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Wairarapa","Maori","full",174,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waitemata","Maori","full",934,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"West Coast","Maori","full",62,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Whanganui","Maori","full",353,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"National","Maori","full",13011,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Auckland","Maori","proportion",0.856140350877193,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Bay of Plenty","Maori","proportion",0.805832693783576,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Canterbury","Maori","proportion",0.90880829015544,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Capital and Coast","Maori","proportion",0.886075949367088,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Counties Manukau","Maori","proportion",0.867631296891747,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hawkes Bay","Maori","proportion",0.893709327548807,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hutt Valley","Maori","proportion",0.85031185031185,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Lakes","Maori","proportion",0.787954830614806,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"MidCentral","Maori","proportion",0.87972027972028,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Nelson Marlborough","Maori","proportion",0.857605177993528,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Northland","Maori","proportion",0.79745889387145,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"South Canterbury","Maori","proportion",0.926829268292683,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Southern","Maori","proportion",0.928571428571429,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Tairawhiti","Maori","proportion",0.884057971014493,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Taranaki","Maori","proportion",0.871844660194175,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waikato","Maori","proportion",0.824153612935826,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Wairarapa","Maori","proportion",0.93048128342246,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waitemata","Maori","proportion",0.857667584940312,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"West Coast","Maori","proportion",0.805194805194805,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Whanganui","Maori","proportion",0.854721549636804,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"National","Maori","proportion",0.85340417158599,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Auckland","Pacific","eligible",919,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Bay of Plenty","Pacific","eligible",82,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Canterbury","Pacific","eligible",324,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Capital and Coast","Pacific","eligible",354,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Counties Manukau","Pacific","eligible",2598,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hawkes Bay","Pacific","eligible",118,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hutt Valley","Pacific","eligible",192,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Lakes","Pacific","eligible",51,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"MidCentral","Pacific","eligible",114,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Nelson Marlborough","Pacific","eligible",57,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Northland","Pacific","eligible",73,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"South Canterbury","Pacific","eligible",29,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Southern","Pacific","eligible",152,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Tairawhiti","Pacific","eligible",22,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Taranaki","Pacific","eligible",37,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waikato","Pacific","eligible",283,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Wairarapa","Pacific","eligible",23,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waitemata","Pacific","eligible",837,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"West Coast","Pacific","eligible",NA,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Whanganui","Pacific","eligible",29,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"National","Pacific","eligible",6301,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Auckland","Pacific","full",814,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Bay of Plenty","Pacific","full",75,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Canterbury","Pacific","full",306,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Capital and Coast","Pacific","full",303,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Counties Manukau","Pacific","full",2354,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hawkes Bay","Pacific","full",112,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hutt Valley","Pacific","full",166,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
