"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Tairawhiti","Maori","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Taranaki","Maori","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Waikato","Maori","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Wairarapa","Maori","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Waitemata","Maori","eligible","205","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"West Coast","Maori","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Whanganui","Maori","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"National","Maori","eligible","842","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Auckland","Maori","full","45","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Bay of Plenty","Maori","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Canterbury","Maori","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Capital & Coast","Maori","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Counties Manukau","Maori","full","316","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Hawkes Bay","Maori","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Hutt Valley","Maori","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Lakes","Maori","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Midcentral","Maori","full","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Nelson Marlborough","Maori","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Northland","Maori","full","32","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Otago","Maori","full","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"South Canterbury","Maori","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Southland","Maori","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Tairawhiti","Maori","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Taranaki","Maori","full","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Waikato","Maori","full","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Wairarapa","Maori","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Waitemata","Maori","full","135","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"West Coast","Maori","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Whanganui","Maori","full","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"National","Maori","full","533","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Auckland","Maori","proportion","0.66176470588235292","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Bay of Plenty","Maori","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Canterbury","Maori","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
