"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Canterbury","NZE","proportion","0.879009126466754","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Capital & Coast","NZE","proportion","0.908931698774081","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Counties Manukau","NZE","proportion","0.85634477254589","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hawkes Bay","NZE","proportion","0.893063583815029","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hutt Valley","NZE","proportion","0.888228299643282","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Lakes","NZE","proportion","0.788732394366197","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Midcentral","NZE","proportion","0.856756756756757","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Nelson Marlborough","NZE","proportion","0.873521383075523","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Northland","NZE","proportion","0.789537712895377","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Otago","NZE","proportion","0.921885995777621","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"South Canterbury","NZE","proportion","0.918918918918919","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Southland","NZE","proportion","0.903903903903904","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Tairawhiti","NZE","proportion","0.888888888888889","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Taranaki","NZE","proportion","0.857744994731296","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waikato","NZE","proportion","0.819665907365224","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Wairarapa","NZE","proportion","0.903125","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waitemata","NZE","proportion","0.817366343738787","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"West Coast","NZE","proportion","0.85823754789272","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Whanganui","NZE","proportion","0.861495844875346","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"National","NZE","proportion","0.855377681069319","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Auckland","Maori","eligible","739","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Bay of Plenty","Maori","eligible","1298","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Canterbury","Maori","eligible","1037","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Capital & Coast","Maori","eligible","738","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Counties Manukau","Maori","eligible","2637","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hawkes Bay","Maori","eligible","1019","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hutt Valley","Maori","eligible","623","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Lakes","Maori","eligible","950","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Midcentral","Maori","eligible","811","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Nelson Marlborough","Maori","eligible","338","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Northland","Maori","eligible","1331","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Otago","Maori","eligible","342","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"South Canterbury","Maori","eligible","81","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Southland","Maori","eligible","343","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Tairawhiti","Maori","eligible","553","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Taranaki","Maori","eligible","504","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waikato","Maori","eligible","2078","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Wairarapa","Maori","eligible","162","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waitemata","Maori","eligible","1305","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"West Coast","Maori","eligible","77","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Whanganui","Maori","eligible","376","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"National","Maori","eligible","17369","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
